exchange,tradingsymbol,name,instrument_token,instrument_type,segment,is_dual_listed
BSE,364TB05326,364TB05326,206089220,EQ,BSE,False
BSE,364TB06826,364TB06826,206106116,EQ,BSE,False
BSE,364TB10426,364TB10426,206093060,EQ,BSE,False
BSE,364TB10526,364TB10526,206095364,EQ,BSE,False
BSE,364TB10926,364TB10926,206109956,EQ,BSE,False
BSE,364TB111225,364TB111225,206080004,EQ,BSE,False
BSE,364TB11626,364TB11626,206099972,EQ,BSE,False
BSE,364TB12226,364TB12226,206086916,EQ,BSE,False
BSE,364TB12326,364TB12326,206089988,EQ,BSE,False
BSE,364TB131125,364TB131125,206076932,EQ,BSE,False
BSE,364TB13826,364TB13826,206106884,EQ,BSE,False
BSE,364TB14526,364TB14526,206096900,EQ,BSE,False
BSE,364TB15126,364TB15126,206083844,EQ,BSE,False
BSE,364TB161025,364TB161025,206073860,EQ,BSE,False
BSE,364TB16426,364TB16426,206093828,EQ,BSE,False
BSE,364TB16726,364TB16726,206103812,EQ,BSE,False
BSE,364TB17926,364TB17926,206110724,EQ,BSE,False
BSE,364TB181225,364TB181225,206080772,EQ,BSE,False
BSE,364TB18626,364TB18626,206100740,EQ,BSE,False
BSE,364TB19326,364TB19326,206090756,EQ,BSE,False
BSE,364TB20226,364TB20226,206087684,EQ,BSE,False
BSE,364TB20726,364TB20726,206102276,EQ,BSE,False
BSE,364TB20826,364TB20826,206107652,EQ,BSE,False
BSE,364TB21026,364TB21026,206112260,EQ,BSE,False
BSE,364TB211125,364TB211125,206077700,EQ,BSE,False
BSE,364TB21526,364TB21526,206097668,EQ,BSE,False
BSE,364TB22126,364TB22126,206084612,EQ,BSE,False
BSE,364TB231025,364TB231025,206074628,EQ,BSE,False
BSE,364TB23426,364TB23426,206094596,EQ,BSE,False
BSE,364TB23726,364TB23726,206104580,EQ,BSE,False
BSE,364TB24926,364TB24926,206111492,EQ,BSE,False
BSE,364TB25626,364TB25626,206101508,EQ,BSE,False
BSE,364TB261225,364TB261225,206081540,EQ,BSE,False
BSE,364TB26326,364TB26326,206091524,EQ,BSE,False
BSE,364TB271125,364TB271125,206078468,EQ,BSE,False
BSE,364TB27226,364TB27226,206088452,EQ,BSE,False
BSE,364TB28526,364TB28526,206098436,EQ,BSE,False
BSE,364TB28826,364TB28826,206108420,EQ,BSE,False
BSE,364TB29126,364TB29126,206085380,EQ,BSE,False
BSE,364TB301025,364TB301025,206075396,EQ,BSE,False
BSE,364TB30726,364TB30726,206105348,EQ,BSE,False
BSE,364TB30926,364TB30926,206109188,EQ,BSE,False
BSE,364TB41225,364TB41225,206079236,EQ,BSE,False
BSE,364TB50226,364TB50226,206086148,EQ,BSE,False
BSE,364TB61125,364TB61125,206076164,EQ,BSE,False
BSE,364TB70526,364TB70526,206096132,EQ,BSE,False
BSE,364TB80126,364TB80126,206083076,EQ,BSE,False
BSE,364TB90726,364TB90726,206103044,EQ,BSE,False
BSE,3BBLACKBIO,3B BLACKBIO DX ,136209156,EQ,BSE,False
BSE,3BFILMS,3B FILMS,139369476,EQ,BSE,False
BSE,3CIT,3C IT SOLUTIONS AND TELECOMS (,139312644,EQ,BSE,False
BSE,563GS2026,563GOI2026,204910340,EQ,BSE,False
BSE,574GS2026,574GS2026,204949252,EQ,BSE,False
BSE,579GS2030,579GOI2030,204881668,EQ,BSE,False
BSE,601GS2028,601GOI2028,204844548,EQ,BSE,False
BSE,601RJ26,601RAJSDL26,207559684,EQ,BSE,False
BSE,613GS2028,613GOI2028,204844804,EQ,BSE,False
BSE,619GS2034,619GOI2034,204882692,EQ,BSE,False
BSE,624MH26,624MAHSDL26,207555076,EQ,BSE,False
BSE,633TN30,633TNSDL30,207527940,EQ,BSE,False
BSE,634RJ27,634RJSDL27,207561732,EQ,BSE,False
BSE,638MH27,638MAHSDL27,207556100,EQ,BSE,False
BSE,640TNSDL32,640TNSDL32,207631876,EQ,BSE,False
BSE,643MH27,643MAHSDL27,207555588,EQ,BSE,False
BSE,644GJ29,644GUJSDL29,207527428,EQ,BSE,False
BSE,645GJ30,645GUJSDL30,207530244,EQ,BSE,False
BSE,645GS2029,645GOI2029,204879620,EQ,BSE,False
BSE,649KA31,649KARSDL31,207528964,EQ,BSE,False
BSE,649MH31,649MAHSDL31,207528708,EQ,BSE,False
BSE,64GJ30A,64GUJSDL30,207533828,EQ,BSE,False
BSE,64KA31,64KARSDL31,207528196,EQ,BSE,False
BSE,652KA30,652KARSDL30,207535620,EQ,BSE,False
BSE,653KA30,653KARSDL30,207534596,EQ,BSE,False
BSE,653TN31,653TNSDL31,207536644,EQ,BSE,False
BSE,654GJ30,654GJSDL2030,207527172,EQ,BSE,False
BSE,654GS2032,654GOI2032,204912644,EQ,BSE,False
BSE,654KA30,654KARSDL30,207535108,EQ,BSE,False
BSE,654MH30,654MAHSDL30,207525124,EQ,BSE,False
BSE,654RJ30,654RAJSDL30,207525892,EQ,BSE,False
BSE,656AP31,656ADRSDL31,207527684,EQ,BSE,False
BSE,657GS2033,657GOI2033,204867076,EQ,BSE,False
BSE,657MH31,657MAHSDL31,207525636,EQ,BSE,False
BSE,657TN31,657TAMSDL31,207538948,EQ,BSE,False
BSE,659RJ30,659RJSDL30,207526660,EQ,BSE,False
BSE,65GJ30,65GUJSDL30,207534084,EQ,BSE,False
BSE,65KA30,65KARSDL30,207529476,EQ,BSE,False
BSE,661MP37,661MPSDL37,207536900,EQ,BSE,False
BSE,662GS2051,662GOI2051,204867588,EQ,BSE,False
BSE,662KA32,662KASDL32,207533572,EQ,BSE,False
BSE,662KA32A,662KARSDL32,207536388,EQ,BSE,False
BSE,663GJ29,663GUJSDL29,207531268,EQ,BSE,False
BSE,663KA30,663KARSDL30,207529988,EQ,BSE,False
BSE,663KA34,663KARSDL34,207536132,EQ,BSE,False
BSE,663TN55,663TMLSDL55,207548676,EQ,BSE,False
BSE,664GS2035,664GOI35,204910852,EQ,BSE,False
BSE,664KA32,664KARSDL32,207529220,EQ,BSE,False
BSE,665GJ30,665GUJSDL30,207529732,EQ,BSE,False
BSE,665KA35,665KARSDL35,207535876,EQ,BSE,False
BSE,666TN29,666TAMSDL29,207564548,EQ,BSE,False
BSE,667GS2035,667GOI2035,204910596,EQ,BSE,False
BSE,667GS2050,667GOI2050,204884484,EQ,BSE,False
BSE,667MH31,667MAHSDL31,207530756,EQ,BSE,False
BSE,668GS2031,668GOI2031,204869636,EQ,BSE,False
BSE,668KA36,668KARSDL36,207535364,EQ,BSE,False
BSE,669KA37,669KARSDL37,207534852,EQ,BSE,False
BSE,669MP30,669MADH2030,207523588,EQ,BSE,False
BSE,669TN50,669TNSDL50,207526148,EQ,BSE,False
BSE,669UP30,669UP2030,207523844,EQ,BSE,False
BSE,66TN29,66TNSDL29,207526916,EQ,BSE,False
BSE,670RJ50,67RJSDL2050,207526404,EQ,BSE,False
BSE,671RJ30,671RAJ2030,207523332,EQ,BSE,False
BSE,671TN29,671TNSDL29,207563012,EQ,BSE,False
BSE,672GJ30,672GUJSDL30,207547908,EQ,BSE,False
BSE,672PN30,672PUNSDL30,207524612,EQ,BSE,False
BSE,673TN30,673TAMSDL30,207524356,EQ,BSE,False
BSE,675GJ29,675GUJSDL29,207560196,EQ,BSE,False
BSE,675GJ31,675GUJSDL31,207548932,EQ,BSE,False
BSE,675KA33,675KARSDL33,207531012,EQ,BSE,False
BSE,675KA33A,675KASDL33,207533316,EQ,BSE,False
BSE,675KA34,675KARSDL34,207534340,EQ,BSE,False
BSE,676GS2061,676GOI2061,204885508,EQ,BSE,False
BSE,676MHSDL37,676MHSDL37,207631620,EQ,BSE,False
BSE,678KA32,678KARSDL32,207531780,EQ,BSE,False
BSE,678MH31,678MAHSDL31,207553028,EQ,BSE,False
BSE,678RJ30,678RAJSDL30,207524868,EQ,BSE,False
BSE,678RJ31,678RAJSDL31,207544580,EQ,BSE,False
BSE,679GS2027,679GOI2027,204868100,EQ,BSE,False
BSE,679GS2029,679GOI2029,204866820,EQ,BSE,False
BSE,67GJ30,67GUJSDL30,207531524,EQ,BSE,False
BSE,682GJSDL27,682GJSDL27,207626244,EQ,BSE,False
BSE,682RJ31,682RAJSDL31,207544836,EQ,BSE,False
BSE,683GJ30,683GUJSDL30,207532292,EQ,BSE,False
BSE,683GS2039,638GOI2039,204840708,EQ,BSE,False
BSE,683MH31,683MAHSDL31,207550212,EQ,BSE,False
BSE,683MH32A,683MAHSDL32,207546372,EQ,BSE,False
BSE,683MH32B,683MAHSD32,207549188,EQ,BSE,False
BSE,683TN31A,683TAMSDL31,207565060,EQ,BSE,False
BSE,684GJ30,684GUJSDL30,207532804,EQ,BSE,False
BSE,684GJ31,684GUJSDL31,207544068,EQ,BSE,False
BSE,684GJ31A,684GUJSD31,207557380,EQ,BSE,False
BSE,684RJ31,684RAJSDL31,207547396,EQ,BSE,False
BSE,686AP35,686APSDL35,207558404,EQ,BSE,False
BSE,686MH32,686MAHSDL32,207546884,EQ,BSE,False
BSE,686PN33,686PUNSDL33,207544324,EQ,BSE,False
BSE,686UP30,686UPSDL30,207523076,EQ,BSE,False
BSE,687KA31,687KARSDL31,207563524,EQ,BSE,False
BSE,687MH33,687MAHSDL33,207545092,EQ,BSE,False
BSE,687MH33A,687MAHSD33,207545860,EQ,BSE,False
BSE,687RJ31,687RAJSDL31,207557124,EQ,BSE,False
BSE,688KA32,688KARSDL32,207564292,EQ,BSE,False
BSE,688MH33,688MAHSDL33,207545604,EQ,BSE,False
BSE,689GJ31,689GUJSDL31,207559428,EQ,BSE,False
BSE,689KA33,689KARSDL33,207564804,EQ,BSE,False
BSE,689MH32,689MAHSDL32,207549956,EQ,BSE,False
BSE,68GS2060,68GOI2060,204883460,EQ,BSE,False
BSE,68MH31,68MAHSDL31,207549444,EQ,BSE,False
BSE,68RJ31,68RAJSDL31,207548164,EQ,BSE,False
BSE,690GOI65,690GOI65,205006852,EQ,BSE,False
BSE,691MH33,691MAHSDL33,207557636,EQ,BSE,False
BSE,691MH34,691MAHSDL34,207557892,EQ,BSE,False
BSE,691RJ31A,691RAJSDL31,207556612,EQ,BSE,False
BSE,692AP41,692APSDL41,207564036,EQ,BSE,False
BSE,692RJ31,692RAJSDL31,207562500,EQ,BSE,False
BSE,693GJ31,693GUJSDL31,207545348,EQ,BSE,False
BSE,693GJ31A,693GJSDL31,207561476,EQ,BSE,False
BSE,693KA32,693KARSDL32,207559172,EQ,BSE,False
BSE,694TN50,694TNSDL50,207522820,EQ,BSE,False
BSE,694TNSDL55,694TNSDL55,207632132,EQ,BSE,False
BSE,695GJ31,695GUJSDL31,207552004,EQ,BSE,False
BSE,695GS2061,695GOI2061,204911620,EQ,BSE,False
BSE,695MH31,695MAHSDL31,207552260,EQ,BSE,False
BSE,695MH32,695MAHSDL32,207550980,EQ,BSE,False
BSE,695RJ31,695RJSDL31,207537924,EQ,BSE,False
BSE,695TN31,695TNSDL31,207537668,EQ,BSE,False
BSE,695TN31B,695TAMSDL31,207556356,EQ,BSE,False
BSE,696TN51,696TANSDL51,207561220,EQ,BSE,False
BSE,696TN56,696TAMSDL56,207546116,EQ,BSE,False
BSE,697GS2026,697GOI2026,204866564,EQ,BSE,False
BSE,697KA31,697KARSDL31,207532548,EQ,BSE,False
BSE,697RJ51A,697RJSDL51,207537412,EQ,BSE,False
BSE,697TN31,697TAMIL31,207553284,EQ,BSE,False
BSE,697TN31A,697TAMSDL31,207553796,EQ,BSE,False
BSE,697TN31B,697TAMSD31A,207555844,EQ,BSE,False
BSE,697TN46,697TAMSDL46,207546628,EQ,BSE,False
BSE,698AP36,698APSDL36,207558148,EQ,BSE,False
BSE,698GJ31,698GUJSDL31,207554820,EQ,BSE,False
BSE,698TN31A,698TAMSDL31,207554308,EQ,BSE,False
BSE,699GS2026,699GOI26,204947972,EQ,BSE,False
BSE,699GS2051,699GOI2051,204911364,EQ,BSE,False
BSE,699TN41,699TNSDL41,207563780,EQ,BSE,False
BSE,699TS43,699TELSDL43,207563268,EQ,BSE,False
BSE,69KA31,69KARSDL31,207562756,EQ,BSE,False
BSE,701MH32,701MHSDL32,207551492,EQ,BSE,False
BSE,702AP37,702APSDL37,207560964,EQ,BSE,False
BSE,702KA33,702KARSDL33,207565316,EQ,BSE,False
BSE,703KA32,703KARSDL32,207560452,EQ,BSE,False
BSE,703RJSDL36,703RJSDL36,207537156,EQ,BSE,False
BSE,703TN51,703TAMSDL51,207547140,EQ,BSE,False
BSE,704AP34,704APSDL34,207558916,EQ,BSE,False
BSE,704GJSDL32,704GJSDL32,207628292,EQ,BSE,False
BSE,704MAHSD40,704MAHSD40,207635716,EQ,BSE,False
BSE,704RJ36,704RAJSDL36,207550468,EQ,BSE,False
BSE,704TN30,704TAMSDL30,207566852,EQ,BSE,False
BSE,705MH32,705MAHSDL32,207533060,EQ,BSE,False
BSE,705RJ31,705RAJSDL31,207543812,EQ,BSE,False
BSE,705TS35,705TELSDL35,207556868,EQ,BSE,False
BSE,705TS41,705TELSDL41,207547652,EQ,BSE,False
BSE,706GJ32,706GUJSDL32,207569924,EQ,BSE,False
BSE,706GS2028,706GS28M23,204948740,EQ,BSE,False
BSE,706GS2046,706GOI2046,204867332,EQ,BSE,False
BSE,706KL41,706KERSDL41,207550724,EQ,BSE,False
BSE,707GJ31,707GUJSDL31,207538180,EQ,BSE,False
BSE,707GJSDL32,707GJSDL32,207637252,EQ,BSE,False
BSE,707RJ46,707RAJSDL46,207548420,EQ,BSE,False
BSE,707TN38,707TAMSDL38,207565572,EQ,BSE,False
BSE,707TNSDL55,707TNSDL55,207633412,EQ,BSE,False
BSE,708AP35,708APSDL35,207561988,EQ,BSE,False
BSE,708GJ31,708GJSDL31,207540484,EQ,BSE,False
BSE,708GJSDL33,708GJSDL33,207628036,EQ,BSE,False
BSE,708KA34A,708KARSDL34,207560708,EQ,BSE,False
BSE,708KASDL34,708KASDL34,207625988,EQ,BSE,False
BSE,708MAHSD39,708MAHSD39,207635460,EQ,BSE,False
BSE,708MH31,708MAHSDL31,207538436,EQ,BSE,False
BSE,708TNSDL34,708TNSDL34,207628548,EQ,BSE,False
BSE,709AP39,709APSDL39,207558660,EQ,BSE,False
BSE,709GJ32,709GUJSDL32,207570436,EQ,BSE,False
BSE,709GOI54,709GOI54,204958212,EQ,BSE,False
BSE,709GOI74,709GOI74,205006596,EQ,BSE,False
BSE,709KL36,709KERSDL36,207549700,EQ,BSE,False
BSE,709RJSDL35,709RJSDL35,207626500,EQ,BSE,False
BSE,709TLSDL63,709TLSDL63,207633668,EQ,BSE,False
BSE,709TNSDL55,709TNSDL55,207632388,EQ,BSE,False
BSE,70AP38A,7APSDL2038,207562244,EQ,BSE,False
BSE,70TN31,7TAMSDL31,207555332,EQ,BSE,False
BSE,710GS2029,71GOI2029,204913668,EQ,BSE,False
BSE,711GJ31,711GUJSDL31,207541252,EQ,BSE,False
BSE,711GJSDL33,711GJSDL33,207629060,EQ,BSE,False
BSE,711TNSDL29,711TNSDL29,207530500,EQ,BSE,False
BSE,712AP35,712APSDL35,207552516,EQ,BSE,False
BSE,712GJ32,712GUJSDL32,207570692,EQ,BSE,False
BSE,712GJSDL35,712GJSDL35,207629316,EQ,BSE,False
BSE,712KA34,712KARSDL34,207565828,EQ,BSE,False
BSE,712KASDL36,712KASDL36,207628804,EQ,BSE,False
BSE,712MHSDL36,712MHSDL36,207629572,EQ,BSE,False
BSE,712MHSDL38,712MHSDL38,207631108,EQ,BSE,False
BSE,712MHSDL47,712MHSDL47,207632900,EQ,BSE,False
BSE,712TNSDL34,712TNSDL34,207627780,EQ,BSE,False
BSE,713KA38,713KARSDL38,207570180,EQ,BSE,False
BSE,713MHSDL37,713MHSDL37,207630852,EQ,BSE,False
BSE,713RJ41,713RAJSDL41,207551236,EQ,BSE,False
BSE,713TN30,713TNSDL30,207573252,EQ,BSE,False
BSE,714AP36,714APSDL36,207552772,EQ,BSE,False
BSE,714AP41,714APSDL41,207554564,EQ,BSE,False
BSE,714AP41A,714APSD41,207559940,EQ,BSE,False
BSE,714MH29,714MHSDL29,207521796,EQ,BSE,False
BSE,714MHSDL39,714MHSDL39,207631364,EQ,BSE,False
BSE,714MHSDL45,714MHSDL45,207632644,EQ,BSE,False
BSE,715AP37,715APSDL37,207551748,EQ,BSE,False
BSE,715KRSDL36,715KRSDL36,207627268,EQ,BSE,False
BSE,716GS2050,716GOI2050,204881156,EQ,BSE,False
BSE,716KA36,716KARSDL36,207569668,EQ,BSE,False
BSE,716MHSDL50,716MHSDL50,207633156,EQ,BSE,False
BSE,716MHSDL55,716MHSDL55,207633924,EQ,BSE,False
BSE,716TNSDL54,716TNSDL54,207627524,EQ,BSE,False
BSE,717GS2028,717GOI2028,204873220,EQ,BSE,False
BSE,717KA29,717KASDL29,207521540,EQ,BSE,False
BSE,717MHSDL,717MHSDL29,207521028,EQ,BSE,False
BSE,717MHSDL37,717MHSDL37,207630084,EQ,BSE,False
BSE,718GJ28,718GUJSDL28,207603460,EQ,BSE,False
BSE,718GS2033,718GS2033,204953348,EQ,BSE,False
BSE,718GS2037,718GS2037,204953092,EQ,BSE,False
BSE,718KA33,718KASDL33,207566340,EQ,BSE,False
BSE,718MAHSD33,718MAHSD33,207636996,EQ,BSE,False
BSE,718MH30,718MAHSDL30,207574532,EQ,BSE,False
BSE,718MHSDL39,718MHSDL39,207630340,EQ,BSE,False
BSE,719GS2060,719GOI2060,204880900,EQ,BSE,False
BSE,719KA40,719KARSDL40,207541764,EQ,BSE,False
BSE,719MHSDL40,719MHSDL40,207629828,EQ,BSE,False
BSE,719TN32,719TAMSDL32,207571716,EQ,BSE,False
BSE,719TN42,719TAMSDL42,207571972,EQ,BSE,False
BSE,71GS2034,71GOI2034,204955652,EQ,BSE,False
BSE,71KARSDL35,71KARSDL35,207626756,EQ,BSE,False
BSE,71MH32,71MAHSDL32,207532036,EQ,BSE,False
BSE,71MH36,710MAHSDL36,207554052,EQ,BSE,False
BSE,721RJ32,721RAJSDL32,207568900,EQ,BSE,False
BSE,722KA35,722KASDL35,207566084,EQ,BSE,False
BSE,722KA38A,722KARSDL38,207539204,EQ,BSE,False
BSE,722KASDL32,722KASDL32,207630596,EQ,BSE,False
BSE,722MHSDL49,722MHSDL49,207624452,EQ,BSE,False
BSE,722RJSDL34,722RJSDL34,207623940,EQ,BSE,False
BSE,723GJSDL27,723GJSDL27,207619332,EQ,BSE,False
BSE,723GS2039,723GS2039,204967684,EQ,BSE,False
BSE,723GS39P,723GS39P,204965124,EQ,BSE,False
BSE,723KA28,721KADSL28,207521284,EQ,BSE,False
BSE,723MHSDL35,723MHSDL35,207624964,EQ,BSE,False
BSE,724GOI55,724GOI55,205007108,EQ,BSE,False
BSE,724KA37,724KASDL37,207539972,EQ,BSE,False
BSE,724KA38,724KASDL38,207540996,EQ,BSE,False
BSE,724MHSDL29,724MHSDL29,207520772,EQ,BSE,False
BSE,724RJ32,724RAJSDL32,207568132,EQ,BSE,False
BSE,724RJ36,724RAJSDL36,207539460,EQ,BSE,False
BSE,724TN51,724TAMIL51,207553540,EQ,BSE,False
BSE,725APSDL47,725APSDL47,207625220,EQ,BSE,False
BSE,725GJ32,725GUJSDL32,207570948,EQ,BSE,False
BSE,725GS2063,725GOI2063,204950532,EQ,BSE,False
BSE,725TLSDL46,725TLSDL46,207625732,EQ,BSE,False
BSE,726GS2029,726GOI2029,204879364,EQ,BSE,False
BSE,726GS2032,726GOI2032,204933124,EQ,BSE,False
BSE,726GS2033,726GOI2033,204947460,EQ,BSE,False
BSE,726MHSDL49,726MHSDL49,207623428,EQ,BSE,False
BSE,726MHSDL50,726MHSDL50,207625476,EQ,BSE,False
BSE,726MPSDL38,726MPSDL38,207624196,EQ,BSE,False
BSE,726TNSDL35,726TNSDL35,207637508,EQ,BSE,False
BSE,727APSDL36,727APSDL36,207624708,EQ,BSE,False
BSE,727GJ31,727GUJSDL31,207602692,EQ,BSE,False
BSE,727GS2026,727GOI2026,204879108,EQ,BSE,False
BSE,727MAHSD36,727MAHSD36,207637764,EQ,BSE,False
BSE,727MHSDL34,727MHSDL34,207622660,EQ,BSE,False
BSE,727MHSDL39,727MHSDL39,207623684,EQ,BSE,False
BSE,727MHSDL44,727MHSDL44,207623172,EQ,BSE,False
BSE,727TNSDL54,727TNSDL54,207619588,EQ,BSE,False
BSE,729GJ32,729GUJSDL32,207573508,EQ,BSE,False
BSE,729KA36,729KARSDL36,207539716,EQ,BSE,False
BSE,729KA39,729KASDL39,207540228,EQ,BSE,False
BSE,729KL49,729KELSDL49,207603204,EQ,BSE,False
BSE,729TMSDL54,729TMSDL54,207622916,EQ,BSE,False
BSE,72KARSDL29,72KARSDL29,207525380,EQ,BSE,False
BSE,72MH28,72MAHSDL28,207602948,EQ,BSE,False
BSE,730KA32,73KARSDL32,207569412,EQ,BSE,False
BSE,730MHSDL38,730MHSDL38,207621892,EQ,BSE,False
BSE,730MHSDL39,730MHSDL39,207622148,EQ,BSE,False
BSE,731AP42,731APSDL42,207571460,EQ,BSE,False
BSE,731GUJ2029,731GUJ2029,207519748,EQ,BSE,False
BSE,731KA35,731KARSDL35,207566596,EQ,BSE,False
BSE,731TMSDL54,731TMSDL54,207620612,EQ,BSE,False
BSE,731TNSDL34,731TNSDL34,207636484,EQ,BSE,False
BSE,732KA34,732KARSDL34,207568644,EQ,BSE,False
BSE,732MH32,732MHSDL32,207605252,EQ,BSE,False
BSE,732RJSDL34,732RJSDL34,207620100,EQ,BSE,False
BSE,733APSDL43,733APSDL43,207620868,EQ,BSE,False
BSE,733GS2026,733GS26J24,204954628,EQ,BSE,False
BSE,733KA37,733KASDL37,207567108,EQ,BSE,False
BSE,733KA40,733KASDL40,207567620,EQ,BSE,False
BSE,733KRSDL54,733KRSDL54,207621636,EQ,BSE,False
BSE,733MH31,733MAHSDL31,207604740,EQ,BSE,False
BSE,733MHSDL44,733MHSDL44,207622404,EQ,BSE,False
BSE,733MP42,733MPSDL42,207568388,EQ,BSE,False
BSE,734AP40,734APSDL40,207574276,EQ,BSE,False
BSE,734GS2064,734GOI2064,204955396,EQ,BSE,False
BSE,734TMSDL34,734TMSDL34,207621380,EQ,BSE,False
BSE,735KA36,735KASDL36,207567364,EQ,BSE,False
BSE,735KA40,735KARSDL40,207538692,EQ,BSE,False
BSE,735TN33,735TNSDL33,207603716,EQ,BSE,False
BSE,736GS2052,736GOI2052,204915716,EQ,BSE,False
BSE,736KA34,736KARSDL34,207614724,EQ,BSE,False
BSE,736KL38,736KERSDL38,207604484,EQ,BSE,False
BSE,736MH28,736MAHSDL28,207601412,EQ,BSE,False
BSE,736RJSDL34,736RJSDL34,207621124,EQ,BSE,False
BSE,736RJSDL46,736RJSDL46,207620356,EQ,BSE,False
BSE,736TN54,736TNSDL54,207615492,EQ,BSE,False
BSE,737APSDL36,737APSDL36,207619844,EQ,BSE,False
BSE,737GR2054,737GS54,204953860,EQ,BSE,False
BSE,737KA37,737KARSDL37,207614980,EQ,BSE,False
BSE,737KA38,737KASDL38,207567876,EQ,BSE,False
BSE,737KA38A,737KARSDL38,207615236,EQ,BSE,False
