Symbol,Name,Sector,Industry,ISIN,IPO_Date,Market_Cap_Cr,EBITDA_Cr,Revenue_TTM_Cr,Gross_Profit_TTM_Cr,PE_Ratio,PEG_Ratio,Book_Value,EPS,Revenue_Per_Share,Dividend_Share,Dividend_Yield_%,Profit_Margin_%,Operating_Margin_%,ROE_%,ROA_%,BS_Years,BS_Quarters,IS_Years,CF_Years
AARTIDRUGS,Aarti Drugs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,INE767A01016,None,4621.91,295.75,2422.2,865.39,24.56,0.0,149.84,20.62,0.0,0.0,0.0,7.8,10.11,12.68,5.77,20,53,20,19
AARTIIND,Aarti Industries Limited,Basic Materials,Specialty Chemicals,INE769A01020,1995-02-08,13691.54,884.12,7095.32,2366.55,57.79,0.0,154.62,6.53,0.0,0.0,0.0,3.34,4.84,6.08,3.42,21,43,21,21
AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,INE0LRU01027,None,7656.92,463.94,1945.77,975.1,28.76,0.0,219.62,29.37,0.0,0.0,0.0,13.69,18.76,14.54,8.6,6,16,6,6
AARTISURF,Aarti Surfactants Limited,Basic Materials,Specialty Chemicals,INE09EO01013,None,391.37,44.13,731.58,129.99,25.66,0.0,275.22,18.03,0.0,0.0,0.0,2.09,3.37,6.45,3.42,7,23,7,7
AARVEEDEN,Aarvee Denims & Exports Limited,Consumer Cyclical,Textile Manufacturing,INE273D01019,None,397.54,-81.81,28.37,-40.04,18.87,0.0,15.23,8.16,0.0,0.0,0.0,75.57,382.63,70.06,-18.33,20,53,20,20
AARVI,Aarvi Encon Limited,Industrials,Staffing & Employment Services,INE754X01016,None,183.83,15.31,548.36,145.2,15.89,0.0,84.62,7.81,0.0,0.0,0.0,2.13,3.01,8.3,3.94,13,34,13,13
AAVAS,Aavas Financiers Limited,Financial Services,Mortgage Finance,INE216P01012,None,13248.57,0.0,1370.35,1360.8,22.78,0.0,551.07,73.47,0.0,0.0,0.0,42.85,51.87,14.44,3.27,12,41,12,12
ABAN,Aban Offshore Limited,Energy,Oil & Gas Drilling,INE421A01028,None,236.73,372.8,630.84,587.93,0.0,0.0,-4352.77,-155.0,0.0,0.0,0.0,-143.39,28.72,0.0,10.09,24,77,26,26
ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,INE117A01022,None,110605.58,2200.07,12612.09,5138.57,61.35,0.0,339.53,85.08,0.0,43.27,0.83,14.23,13.7,26.58,10.68,26,62,26,26
ABBOTINDIA,Abbott India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,INE358A01014,None,63410.56,1709.38,6589.89,2983.99,43.57,0.0,1992.14,684.46,0.0,0.0,0.0,22.04,24.51,35.66,18.29,21,56,21,21
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,INE674K01013,None,79328.9,0.0,29799.49,8023.6,23.44,0.0,116.56,12.95,0.0,0.0,0.0,11.44,16.82,11.4,1.32,11,37,11,11
ABDL,Allied Blenders & Distillers Ltd,Consumer Defensive,Beverages - Wineries & Distilleries,INE552Z01027,None,15565.92,471.74,3685.11,1562.06,62.13,0.0,55.16,8.8,0.0,0.0,0.0,6.52,10.41,19.78,7.63,4,2,4,4
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Apparel Manufacturing,INE647O01011,None,10420.98,1635.27,7511.97,4336.69,0.0,0.0,60.57,-4.69,0.0,0.0,0.0,-5.68,-11.14,-10.82,-1.57,18,53,18,14
ABINFRA,ABINFRA,Industrials,Engineering & Construction,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
ABMINTLLTD,ABM International Limited,Basic Materials,Specialty Chemicals,INE251C01025,None,41.67,-5.21,65.36,-4.05,0.0,0.0,14.1,-1.41,0.0,0.0,0.0,-6.74,-1.21,-9.61,-3.55,16,51,16,16
ABREL,Aditya Birla Real Estate Limited,Basic Materials,Paper & Paper Products,None,None,17761.06,-81.4,1020.62,404.78,0.0,0.0,343.77,-17.6,0.0,0.0,0.0,-19.06,-38.07,0.0,0.0,4,3,4,4
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,INE404A01024,None,23692.75,1334.03,2066.14,1631.08,24.39,0.0,129.19,33.65,0.0,0.0,0.0,47.04,66.09,26.99,20.52,13,23,13,13
ACC,ACC Limited,Basic Materials,Building Materials,INE012A01025,None,34883.36,2994.67,22650.45,10134.14,14.47,0.0,988.08,128.36,0.0,0.0,0.0,10.67,8.6,13.77,5.27,24,74,24,24
ACCELYA,Accelya Solutions India Limited,Technology,Information Technology Services,INE793A01012,None,2238.34,194.39,528.72,384.04,17.36,0.0,186.01,86.37,0.0,90.0,6.0,24.4,33.13,46.03,24.16,20,54,20,20
ACCURACY,Accuracy Shipping Limited,Industrials,Integrated Freight & Logistics,INE648Z01023,None,104.79,28.28,905.58,39.91,38.67,0.0,7.82,0.18,0.0,0.0,0.0,0.29,1.67,11.41,2.59,13,29,13,13
ACE,Action Construction Equipment Limited,Industrials,Farm & Heavy Construction Machinery,INE731H01025,None,12861.48,499.7,3244.87,1035.08,30.43,0.0,135.69,35.48,0.0,0.0,0.0,13.03,13.01,28.74,12.24,20,40,20,20
ACEINTEG,Ace Integrated Solutions Limited,Industrials,Staffing & Employment Services,INE543V01017,None,24.47,-2.88,6.47,1.2,0.0,0.0,16.78,-1.87,0.0,0.0,0.0,-29.52,-109.09,-8.53,-8.28,14,35,14,14
ACI,Archean Chemical Industries Limited,Basic Materials,Chemicals,INE128X01021,None,8277.56,311.03,1120.68,1067.66,51.24,0.0,151.02,12.74,0.0,0.0,0.0,14.05,18.87,9.1,6.62,8,24,8,8
ACL,Andhra Cements Limited,Basic Materials,Building Materials,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,55,18,18
ACLGATI,Allcargo Gati Limited,Industrials,Integrated Freight & Logistics,INE152B01027,None,861.05,76.09,1509.05,208.21,51.04,0.0,54.88,1.14,0.0,0.0,0.0,1.18,-1.49,1.32,-0.32,21,58,21,21
ACMESOLAR,ACME Solar Holdings Limited,Utilities,Utilities - Renewable,INE622W01025,None,17260.13,1601.41,1819.22,1819.22,45.28,0.0,78.61,6.3,0.0,0.0,0.0,20.97,72.48,0.0,0.0,9,9,9,9
ACUTAAS,ACUTAAS CHEMICALS LTD,Basic Materials,Specialty Chemicals,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,INE931S01010,None,110397.88,8521.13,25208.23,11085.92,44.87,0.0,183.71,20.48,0.0,0.0,0.0,9.51,27.13,5.02,6.18,11,43,11,11
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,INE423A01024,None,293415.81,13032.94,94383.55,45795.37,46.82,0.0,413.19,54.3,0.0,1.3,0.05,6.76,9.23,14.34,3.51,22,55,22,22
ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable,INE364U01010,None,174715.97,9598.0,12357.0,10435.0,106.39,0.0,67.63,9.97,0.0,0.0,0.0,13.85,59.87,10.0,4.09,10,33,10,10
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,INE742F01042,None,302419.36,19204.52,32645.15,21629.21,26.79,0.0,288.26,52.24,0.0,0.0,0.0,34.6,46.47,18.51,6.91,22,55,22,22
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,INE814H01011,None,292143.76,20873.35,55356.61,23969.93,24.24,0.0,29.22,6.25,0.0,0.0,0.0,22.42,32.58,25.29,10.44,20,57,20,19
ADFFOODS,ADF Foods Limited,Consumer Defensive,Packaged Foods,INE982B01027,None,2360.31,91.28,600.84,342.92,34.05,0.0,44.84,6.31,0.0,0.0,0.0,11.56,14.03,14.82,8.46,21,53,21,21
ADL,Archidply Decor Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",INE0CHO01012,None,48.24,2.89,51.19,14.26,376.83,0.0,145.05,0.23,0.0,0.0,0.0,0.26,0.07,0.11,0.86,7,23,7,7
ADOR,Ador Welding Limited,Industrials,Specialty Industrial Machinery,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,5
ADROITINFO,Adroit Infotech Limited,Technology,Information Technology Services,INE737B01033,None,59.33,-0.93,34.98,11.69,43.12,0.0,18.06,0.24,0.0,0.0,0.0,2.99,8.93,1.25,-2.98,20,56,20,20
ADSL,Allied Digital Services Limited,Technology,Information Technology Services,INE102I01027,None,1109.89,56.86,846.96,184.95,34.88,0.0,112.29,5.63,0.0,0.0,0.0,4.27,6.29,5.08,1.79,21,58,21,21
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Cyclical,Lodging,INE199C01026,None,543.35,33.09,105.28,63.1,21.58,0.0,8.8,2.72,0.0,1.9,3.23,23.91,11.14,34.49,19.02,21,53,21,21
ADVENZYMES,Advanced Enzyme Technologies Limited,Basic Materials,Specialty Chemicals,INE837H01020,None,3524.82,188.38,668.3,487.21,25.74,0.0,127.0,12.24,0.0,5.2,1.61,20.48,25.18,9.44,6.26,18,44,18,18
AEGISLOG,Aegis Logistics Limited,Energy,Oil & Gas Refining & Marketing,INE208C01025,None,28828.93,1062.82,6881.86,1460.04,43.5,0.0,131.93,18.86,0.0,8.0,0.96,9.64,11.53,15.47,6.17,21,55,21,21
AEGISVOPAK,Aegis Vopak Terminals Ltd,Energy,Oil & Gas Equipment & Services,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3
AEROFLEX,Aeroflex Industries Limited,Industrials,Metal Fabrication,INE024001021,None,2257.38,73.94,370.81,144.57,47.61,0.0,26.48,3.66,0.0,0.0,0.0,12.75,11.32,16.52,10.6,7,13,7,7
AETHER,Aether Industries Limited,Basic Materials,Specialty Chemicals,INE0BWX01014,None,10055.29,276.8,914.81,437.03,57.12,0.0,167.36,13.2,0.0,0.0,0.0,19.18,25.96,7.39,4.86,8,21,8,8
AFCONS,AFCONS INFRASTRUCTURE LTD,Industrials,Engineering & Construction,INE101I01011,None,16837.18,1407.82,12764.44,4124.2,31.62,0.0,143.03,14.48,0.0,2.5,0.55,4.17,8.8,0.0,0.0,4,4,4,4
AFFLE,Affle (India) Limited,Communication Services,Advertising Agencies,INE00WC01027,None,27483.33,533.55,2367.54,696.65,66.9,0.0,210.12,28.49,0.0,0.0,0.0,16.93,18.34,14.03,7.0,12,29,12,12
AFIL,Akme Fintrade India Ltd,Financial Services,Credit Services,INE916Y01019,None,380.65,0.0,67.5,67.5,11.33,0.0,8.95,0.78,0.0,0.0,0.0,50.72,65.54,10.98,5.98,4,3,4,4
AFSL,Abans Financial Services Limited,Financial Services,Capital Markets,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
AGARIND,Agarwal Industrial Corporation Limited,Basic Materials,Specialty Chemicals,INE204E01012,None,1361.16,173.11,2284.82,496.33,15.18,0.0,419.33,59.94,0.0,0.0,0.0,3.93,3.91,20.33,7.83,18,57,18,17
AGARWALEYE,AGARWALEYE,Healthcare,Medical Instruments & Supplies,None,None,10615.01,456.38,1711.0,748.76,453.72,0.0,59.6,0.74,0.0,0.0,0.0,4.88,15.34,6.61,4.39,5,9,5,5
AGI,AGI Greenpac Limited,Consumer Cyclical,Packaging & Containers,INE415A01038,None,5633.57,699.57,2650.15,1350.09,16.1,0.0,324.18,53.76,0.0,0.0,0.0,13.13,14.74,16.48,9.33,19,26,19,19
AGIIL,AGI Infra Limited,Real Estate,Real Estate - Development,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
AGRITECH,Agri-Tech (India) Limited,Consumer Defensive,Farm Products,INE449G01018,None,79.82,0.0,0.0,0.0,0.0,0.0,0.0,-0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,50,15,12
AGROPHOS,Agro Phos India Limited,Basic Materials,Agricultural Inputs,INE740V01019,None,87.22,21.44,135.76,55.72,102.43,0.0,32.12,0.42,0.0,0.0,0.0,7.08,18.93,8.87,6.3,14,38,14,14
AGSTRA,AGS Transact Technologies Limited,Technology,Software - Infrastructure,INE583L01014,None,55.6,-24.93,1252.03,1060.72,0.0,0.0,44.05,-13.96,0.0,0.0,0.0,-13.55,-103.96,1.82,2.59,11,19,11,11
AHLADA,Ahlada Engineers Limited,Industrials,Building Products & Equipment,INE00PV01013,None,80.33,17.51,117.88,45.41,21.66,0.0,107.69,2.87,0.0,0.0,0.0,2.05,7.78,6.99,5.83,13,29,13,13
AHLEAST,Asian Hotels (East) Limited,Consumer Cyclical,Lodging,INE926K01017,None,259.19,35.41,115.51,71.73,22.78,0.0,140.86,6.58,0.0,1.0,0.67,9.85,18.94,7.4,2.52,17,41,16,16
AHLUCONT,Ahluwalia Contracts (India) Limited,Industrials,Engineering & Construction,INE758C01029,None,6552.05,367.25,4184.15,813.49,29.45,0.0,268.48,33.21,0.0,0.0,0.0,5.32,6.53,11.89,4.99,21,42,21,21
AIAENG,AIA Engineering Limited,Industrials,Specialty Industrial Machinery,INE212H01026,None,29612.42,1166.21,4306.42,2286.38,26.84,0.0,741.95,118.23,0.0,0.0,0.0,25.69,26.82,15.58,8.53,21,57,21,20
AIIL,AUTHUM INVESTMENT & INFRASTRUCTU ORD (BSE),Financial Services,Capital Markets,INE206F01022,None,55330.44,0.0,4354.34,4354.34,13.53,0.0,866.73,240.83,0.0,0.0,0.0,93.88,96.55,0.0,0.0,12,48,12,12
AIRAN,Airan Limited,Technology,Information Technology Services,INE645W01026,None,316.03,17.0,106.04,31.9,0.0,0.0,11.71,-0.01,0.0,0.0,0.0,-0.17,10.26,12.98,4.7,14,33,14,14
AIROLAM,Airo Lam limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",INE801L01010,None,162.62,15.34,215.63,77.17,60.22,0.0,48.77,1.8,0.0,0.0,0.0,0.86,7.46,3.8,3.51,13,34,13,13
AJANTPHARM,Ajanta Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,INE031B01049,None,30726.05,1292.48,4805.83,3654.91,33.06,0.0,301.59,74.4,0.0,28.0,1.15,19.35,25.73,25.02,14.61,21,49,21,21
AJAXENGG,AJAXENGG,Industrials,Farm & Heavy Construction Machinery,None,None,7508.53,318.13,2073.91,562.18,29.05,0.0,101.15,22.59,0.0,0.0,0.0,12.54,14.29,25.07,14.13,5,9,5,5
AJMERA,Ajmera Realty & Infra India Limited,Real Estate,Real Estate - Development,INE298G01027,None,3899.11,244.72,802.73,289.34,28.39,0.0,306.4,34.9,0.0,0.0,0.0,16.54,29.84,10.91,6.75,22,55,22,22
AJOONI,Ajooni Biotech Limited,Consumer Defensive,Packaged Foods,INE820Y01021,None,89.74,3.47,120.3,20.14,26.05,0.0,2.27,0.2,0.0,0.0,0.0,3.06,1.49,4.23,1.5,13,31,13,13
AKASH,Akash Infra-Projects Limited,Industrials,Engineering & Construction,INE737W01013,None,51.36,6.05,64.52,19.95,70.84,0.0,50.59,0.43,0.0,0.0,0.0,1.12,4.84,1.06,1.5,14,36,14,14
AKG,Akg Exim Limited,Industrials,Industrial Distribution,INE00Y801016,None,42.1,1.39,121.26,8.29,60.23,0.0,16.04,0.22,0.0,0.0,0.0,0.57,0.0,1.63,1.43,13,29,13,13
AKI,AKI India Limited,Consumer Cyclical,Footwear & Accessories,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,27,13,13
AKSHAR,Akshar Spintex Limited,Consumer Cyclical,Textile Manufacturing,INE256Z01025,None,48.04,-3.28,105.94,13.56,0.0,0.0,1.12,-0.12,0.0,0.0,0.0,-5.96,-6.15,-6.74,-3.59,12,33,12,12
AKSHARCHEM,AksharChem India Limited,Basic Materials,Specialty Chemicals,INE542B01011,None,215.7,24.56,357.32,100.18,49.53,0.0,328.9,5.41,0.0,0.0,0.0,1.21,2.5,1.83,1.7,17,55,17,17
AKSHOPTFBR,Aksh Optifibre Limited,Technology,Communication Equipment,INE523B01011,None,116.65,-8.72,115.03,32.91,0.0,0.0,0.71,-1.66,0.0,0.0,0.0,-23.39,-14.63,-99.73,-3.79,19,42,19,19
AKUMS,Akums Drugs and Pharmaceutical,Healthcare,Drug Manufacturers - Specialty & Generic,INE09XN01023,None,6774.05,464.8,4126.05,1640.83,19.76,0.0,199.02,22.31,0.0,0.0,0.0,8.28,8.99,18.17,5.22,4,4,4,4
AKZOINDIA,Akzo Nobel India Limited,Basic Materials,Specialty Chemicals,INE133A01011,None,15182.23,594.58,4050.3,1695.3,37.41,0.0,292.09,89.11,0.0,0.0,0.0,10.02,11.68,32.29,11.9,28,55,28,28
ALANKIT,Alankit Limited,Technology,Information Technology Services,INE914E01040,None,335.41,18.38,236.31,91.95,19.02,0.0,11.26,0.65,0.0,0.0,0.0,7.45,-13.56,7.04,2.9,17,47,17,17
ALBERTDAVD,Albert David Limited,Healthcare,Drug Manufacturers - Specialty & Generic,INE155C01010,None,448.27,-9.85,326.98,215.72,71.4,0.0,687.7,11.0,0.0,0.0,0.0,1.93,-18.48,4.44,-0.47,20,56,20,20
ALEMBICLTD,Alembic Limited,Real Estate,Real Estate - Development,INE426A01027,None,2609.16,93.29,220.86,142.64,8.24,0.0,91.07,12.33,0.0,0.0,0.0,143.3,33.75,13.73,2.15,22,50,22,22
ALICON,Alicon Castalloy Limited,Industrials,Metal Fabrication,INE062D01024,None,1385.94,191.78,1698.32,793.6,38.37,0.0,364.73,22.11,0.0,0.0,0.0,2.14,5.98,8.02,5.28,20,53,20,20
ALIVUS,Alivus Life Sciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,None,None,12965.22,621.03,2273.94,1199.08,29.42,0.0,207.2,35.97,0.0,0.0,0.0,19.42,27.29,0.0,0.0,4,3,4,4
ALKALI,Alkali Metals Limited,Basic Materials,Specialty Chemicals,INE773I01017,None,91.21,1.98,88.27,26.41,0.0,0.0,43.76,-3.56,0.0,0.0,0.0,-4.11,-0.96,-12.1,-3.02,20,55,20,20
ALKEM,Alkem Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,INE540L01014,None,65665.1,2597.77,13303.84,8283.16,28.73,0.0,1002.37,191.19,0.0,45.0,0.82,17.17,19.32,19.14,8.09,16,45,16,16
ALKYLAMINE,Alkyl Amines Chemicals Limited,Basic Materials,Specialty Chemicals,INE150B01039,None,9604.33,297.04,1577.66,711.7,51.52,0.0,274.26,36.45,0.0,0.0,0.0,11.83,14.47,13.94,8.39,20,40,20,20
ALLCARGO,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,INE418H01029,None,3093.8,550.66,16075.54,3330.01,0.0,0.0,23.31,-0.71,0.0,0.0,0.0,-0.43,5.6,1.81,0.75,21,54,21,21
ALLDIGI,Alldigi Tech Limited,Industrials,Specialty Business Services,INE835G01018,None,1351.94,106.06,560.9,220.72,20.42,0.0,170.29,43.44,0.0,0.0,0.0,11.81,16.07,0.0,0.0,4,3,4,4
ALMONDZ,Almondz Global Securities Limited,Financial Services,Capital Markets,INE326B01035,None,323.33,0.0,148.03,75.08,17.57,0.0,14.52,1.06,0.0,0.0,0.0,12.25,12.26,7.51,5.19,20,55,20,20
ALOKINDS,Alok Industries Limited,Consumer Cyclical,Textile Manufacturing,INE270A01029,None,8848.81,-86.56,3634.97,1027.15,0.0,0.0,-41.55,-1.57,0.0,0.0,0.0,-21.49,-5.15,0.0,-3.43,21,39,21,21
ALPA,Alpa Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,INE385I01010,2007-08-06,188.84,4.7,110.12,35.99,7.17,0.0,76.66,12.44,0.0,0.0,0.0,23.77,-0.68,12.06,0.79,24,66,24,24
ALPHAGEO,Alphageo (India) Limited,Energy,Oil & Gas Equipment & Services,INE137C01018,None,160.35,-4.46,141.25,20.08,0.0,0.0,421.51,-14.21,0.0,0.0,0.0,-6.41,-4.77,-2.12,-3.61,20,45,20,20
ALPSINDUS,Alps Industries Limited,Consumer Cyclical,Textile Manufacturing,INE093B01015,None,7.39,-0.51,0.07,0.07,0.0,0.0,-228.59,-16.63,0.0,0.0,0.0,0.0,-198.09,0.0,-3.41,20,54,19,19
AMBER,Amber Enterprises India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",INE371P01015,None,29586.62,777.17,11020.86,1838.67,104.01,0.0,675.8,80.93,0.0,0.0,0.0,2.5,5.65,11.35,4.52,13,33,13,13
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Consumer Defensive,Household & Personal Products,INE792B01012,None,44.35,9.72,130.75,18.08,89.03,0.0,63.62,0.29,0.0,0.0,0.0,0.39,8.28,0.46,2.37,20,59,20,20
AMBIKCO,Ambika Cotton Mills Limited,Consumer Cyclical,Textile Manufacturing,INE540G01014,None,804.82,82.95,684.96,255.93,13.39,0.0,1579.13,104.99,0.0,0.0,0.0,8.78,11.49,7.46,4.55,20,53,20,20
AMBUJACEM,Ambuja Cements Limited,Basic Materials,Building Materials,INE079A01024,None,140906.14,6243.26,36941.74,21087.96,32.46,0.0,216.97,17.56,0.0,0.0,0.0,11.68,10.69,9.0,3.0,22,40,21,21
AMDIND,AMD Industries Limited,Consumer Cyclical,Packaging & Containers,INE005I01014,None,117.83,22.02,267.65,95.63,0.0,0.0,73.43,-0.65,0.0,0.0,0.0,-0.46,4.71,0.64,1.72,18,47,18,17
AMJLAND,Amj Land Holdings Limited,Real Estate,Real Estate - Development,INE606A01024,None,225.42,33.39,73.82,44.79,10.92,0.0,55.4,4.88,0.0,0.0,0.0,27.09,33.16,10.51,8.17,20,42,20,19
AMNPLST,Amines & Plasticizers Limited,Basic Materials,Chemicals,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,42,20,20
AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare,Drug Manufacturers - Specialty & Generic,INE098F01031,None,2050.61,63.76,462.27,227.95,37.7,0.0,112.98,18.82,0.0,0.0,0.0,11.8,7.36,16.53,11.0,20,44,20,20
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,Asset Management,INE463V01026,None,24262.78,455.23,1019.49,593.53,75.19,0.0,81.18,38.76,0.0,0.0,0.0,31.41,45.86,44.59,28.3,12,19,12,12
ANANTRAJ,Anant Raj Limited,Real Estate,Real Estate - Development,INE242C01024,None,25252.04,538.0,2180.55,618.41,54.61,0.0,121.21,13.47,0.0,0.0,0.0,21.13,24.1,10.82,5.71,21,57,21,21
ANDHRAPAP,ANDHRA PAPER LIMITED,Basic Materials,Paper & Paper Products,INE435A01051,None,1642.69,138.02,1618.77,453.59,19.75,0.0,97.6,4.15,0.0,0.0,0.0,5.1,1.96,4.64,1.28,22,53,22,22
ANDHRSUGAR,The Andhra Sugars Limited,Basic Materials,Chemicals,INE715B01021,None,1073.58,149.89,2139.46,585.0,31.06,0.0,116.48,2.55,0.0,0.0,0.0,1.62,5.74,1.58,0.75,20,44,20,20
ANGELONE,Angel One Limited,Financial Services,Capital Markets,INE732I01013,None,20273.24,0.0,4702.63,3948.44,20.74,0.0,622.57,107.12,0.0,0.0,0.0,21.13,15.31,27.01,7.78,12,26,12,12
ANIKINDS,Anik Industries Limited,Consumer Defensive,Food Distribution,INE087B01017,None,171.06,2.85,153.53,9.19,75.88,0.0,135.24,0.81,0.0,0.0,0.0,1.46,0.28,0.75,0.3,20,49,20,20
